Date,Hour,Light (kWh),Fan (kWh),AC (kWh),Lift (kWh),Computers (kWh),Other (kWh)
2024-01-01,0,1.1600000000000001,0.24,0.0,0.005,0.75,0.12
2024-01-01,1,1.32,0.28500000000000003,0.0,0.005,0.96,0.192
2024-01-01,2,1.32,0.2,0.0,0.005,1.26,0.14
2024-01-01,3,0.76,0.375,0.0,0.005,2.88,0.052
2024-01-01,4,1.6,0.245,0.0,0.005,1.3499999999999999,0.082
2024-01-01,5,1.32,0.275,0.0,0.005,2.88,0.158
2024-01-01,6,0.52,0.13,0.0,0.005,2.43,0.08
2024-01-01,7,0.8799999999999999,0.25,0.0,0.005,1.7999999999999998,0.102
2024-01-01,8,1.92,0.325,0.0,0.005,1.1099999999999999,0.178
2024-01-01,9,10.2,0.745,4.515000000000001,0.734,41.31,0.994
2024-01-01,10,4.84,0.5750000000000001,5.2700000000000005,0.982,43.56,0.936
2024-01-01,11,8.08,0.8899999999999999,5.9799999999999995,0.042,28.98,0.896
2024-01-01,12,5.16,0.75,6.615,0.157,39.900000000000006,0.986
2024-01-01,13,6.760000000000001,0.63,9.785,0.719,36.9,0.562
2024-01-01,14,11.719999999999999,0.9450000000000001,6.1,0.631,41.13,0.44
2024-01-01,15,4.08,0.775,6.01,0.813,38.489999999999995,0.396
2024-01-01,16,5.36,0.675,6.3549999999999995,0.027,42.63,0.628
2024-01-01,17,5.48,0.935,4.385,0.261,34.98,0.542
2024-01-01,18,9.84,0.875,3.875,0.535,41.76,0.264
2024-01-01,19,0.6,0.19,0.0,0.005,0.7799999999999999,0.194
2024-01-01,20,0.76,0.365,0.0,0.005,2.28,0.074
2024-01-01,21,1.6800000000000002,0.325,0.0,0.005,0.8999999999999999,0.086
2024-01-01,22,0.56,0.33,0.0,0.005,2.88,0.18
2024-01-01,23,0.6,0.245,0.0,0.005,2.6399999999999997,0.098
2024-01-02,0,1.32,0.4,0.0,0.005,2.19,0.142
2024-01-02,1,1.44,0.275,0.0,0.005,1.3199999999999998,0.044
2024-01-02,2,0.64,0.32,0.0,0.005,2.2199999999999998,0.162
2024-01-02,3,0.52,0.11499999999999999,0.0,0.005,0.63,0.08
2024-01-02,4,0.72,0.17,0.0,0.005,2.28,0.074
2024-01-02,5,0.52,0.24,0.0,0.005,2.2199999999999998,0.2
2024-01-02,6,0.64,0.255,0.0,0.005,2.28,0.136
2024-01-02,7,1.6400000000000001,0.15,0.0,0.005,2.88,0.064
2024-01-02,8,1.52,0.31,0.0,0.005,2.97,0.072
2024-01-02,9,7.960000000000001,0.8350000000000001,2.7150000000000003,0.55,37.949999999999996,0.326
2024-01-02,10,9.280000000000001,0.8999999999999999,3.5749999999999997,0.938,34.199999999999996,0.614
2024-01-02,11,7.32,0.915,3.3950000000000005,0.293,42.78,0.538
2024-01-02,12,11.200000000000001,0.5650000000000001,5.89,0.007,34.08,0.43
2024-01-02,13,11.879999999999999,0.8450000000000001,9.805,0.99,37.35,0.958
2024-01-02,14,11.68,0.8550000000000001,9.615,0.853,35.94,0.586
2024-01-02,15,10.760000000000002,0.8599999999999999,9.035,0.933,30.54,0.75
2024-01-02,16,4.84,0.8200000000000001,7.375,0.161,31.98,0.51
2024-01-02,17,8.96,0.8150000000000001,5.91,0.028,39.69,0.526
2024-01-02,18,4.36,0.725,3.25,0.947,41.37,0.644
2024-01-02,19,1.04,0.10500000000000001,0.0,0.005,2.34,0.09
2024-01-02,20,1.44,0.14,0.0,0.005,1.17,0.17
2024-01-02,21,1.24,0.2,0.0,0.005,1.3199999999999998,0.168
2024-01-02,22,1.0,0.26,0.0,0.005,2.0100000000000002,0.178
2024-01-02,23,1.48,0.31,0.0,0.005,0.63,0.14
2024-01-03,0,1.88,0.22499999999999998,0.0,0.005,2.5500000000000003,0.13
2024-01-03,1,1.6400000000000001,0.31,0.0,0.005,2.6399999999999997,0.166
2024-01-03,2,0.8400000000000001,0.185,0.0,0.005,1.05,0.158
2024-01-03,3,1.36,0.13,0.0,0.005,1.1099999999999999,0.144
2024-01-03,4,1.7199999999999998,0.365,0.0,0.005,2.88,0.144
2024-01-03,5,1.36,0.255,0.0,0.005,0.69,0.068
2024-01-03,6,1.7199999999999998,0.355,0.0,0.005,1.5,0.14
2024-01-03,7,0.96,0.265,0.0,0.005,2.76,0.07
2024-01-03,8,0.4,0.235,0.0,0.005,2.61,0.058
2024-01-03,9,11.6,0.5750000000000001,2.72,0.677,37.74,0.26
2024-01-03,10,11.240000000000002,0.8250000000000001,2.6550000000000002,0.78,43.8,0.474
2024-01-03,11,6.5600000000000005,0.865,2.765,0.049,27.93,0.918
2024-01-03,12,6.6000000000000005,0.625,7.21,0.004,30.78,0.816
2024-01-03,13,9.0,0.8400000000000001,8.79,0.676,28.86,0.234
2024-01-03,14,10.56,0.935,8.705,0.577,40.14,0.362
2024-01-03,15,4.2,0.63,5.629999999999999,0.932,28.41,0.31
2024-01-03,16,4.44,0.76,8.065,0.113,39.42,0.95
2024-01-03,17,4.2,0.74,9.8,0.152,38.52,0.43
2024-01-03,18,6.08,0.8500000000000001,2.485,0.897,36.39,0.798
2024-01-03,19,0.64,0.245,0.0,0.005,0.87,0.068
2024-01-03,20,1.56,0.32,0.0,0.005,1.26,0.096
2024-01-03,21,1.56,0.315,0.0,0.005,2.5799999999999996,0.152
2024-01-03,22,1.7199999999999998,0.10999999999999999,0.0,0.005,0.6,0.072
2024-01-03,23,1.7599999999999998,0.26,0.0,0.005,2.4,0.042
2024-01-04,0,1.7599999999999998,0.315,0.0,0.005,1.98,0.082
2024-01-04,1,1.28,0.35000000000000003,0.0,0.005,1.8900000000000001,0.042
2024-01-04,2,1.7999999999999998,0.17500000000000002,0.0,0.005,1.47,0.148
2024-01-04,3,0.6,0.315,0.0,0.005,2.82,0.04
2024-01-04,4,1.44,0.2,0.0,0.005,2.94,0.086
2024-01-04,5,1.24,0.14500000000000002,0.0,0.005,0.87,0.146
2024-01-04,6,0.52,0.325,0.0,0.005,0.8099999999999999,0.19
2024-01-04,7,2.0,0.315,0.0,0.005,1.44,0.07
2024-01-04,8,1.92,0.295,0.0,0.005,2.67,0.15
2024-01-04,9,10.68,0.545,5.0,0.846,35.25,0.204
2024-01-04,10,4.8,0.8200000000000001,2.27,0.928,37.529999999999994,0.662
2024-01-04,11,7.800000000000001,0.6900000000000001,4.93,0.252,35.67,0.694
2024-01-04,12,10.64,0.545,5.590000000000001,0.226,37.32,0.41
2024-01-04,13,6.24,0.5800000000000001,4.525,0.598,31.080000000000002,0.358
2024-01-04,14,9.64,0.5650000000000001,6.16,0.556,24.3,0.652
2024-01-04,15,10.760000000000002,0.665,7.47,0.589,42.63,0.324
2024-01-04,16,9.6,0.935,5.16,0.118,39.6,0.462
2024-01-04,17,7.199999999999999,0.7000000000000001,6.18,0.206,25.74,0.902
2024-01-04,18,7.48,0.9750000000000001,4.7299999999999995,0.548,32.760000000000005,0.818
2024-01-04,19,0.76,0.14500000000000002,0.0,0.005,2.97,0.046
2024-01-04,20,1.56,0.39,0.0,0.005,2.97,0.11
2024-01-04,21,1.28,0.27,0.0,0.005,1.41,0.126
2024-01-04,22,1.44,0.17,0.0,0.005,2.46,0.194
2024-01-04,23,1.7199999999999998,0.24,0.0,0.005,1.2,0.082
2024-01-05,0,0.68,0.38,0.0,0.005,2.91,0.166
2024-01-05,1,1.6400000000000001,0.29000000000000004,0.0,0.005,2.85,0.062
2024-01-05,2,1.52,0.325,0.0,0.005,1.26,0.114
2024-01-05,3,1.36,0.25,0.0,0.005,2.46,0.154
2024-01-05,4,0.52,0.3,0.0,0.005,1.5599999999999998,0.114
2024-01-05,5,1.28,0.17500000000000002,0.0,0.005,1.26,0.106
2024-01-05,6,1.88,0.21000000000000002,0.0,0.005,0.87,0.104
2024-01-05,7,1.28,0.125,0.0,0.005,0.84,0.142
2024-01-05,8,1.4000000000000001,0.28500000000000003,0.0,0.005,2.67,0.196
2024-01-05,9,8.08,0.5800000000000001,3.12,0.863,31.29,0.59
2024-01-05,10,4.04,0.8999999999999999,4.475,0.538,26.94,0.362
2024-01-05,11,6.12,0.6950000000000001,5.505,0.197,42.18,0.882
2024-01-05,12,11.879999999999999,0.645,6.62,0.284,25.5,0.912
2024-01-05,13,6.32,0.62,7.69,0.628,35.22,0.692
2024-01-05,14,11.36,0.59,5.19,0.774,42.57,0.778
2024-01-05,15,11.559999999999999,0.74,8.145,0.631,34.89,0.672
2024-01-05,16,5.84,0.505,8.955,0.016,41.160000000000004,0.21
2024-01-05,17,5.96,0.79,9.765,0.188,31.14,0.33
2024-01-05,18,9.76,0.94,3.5549999999999997,0.553,41.699999999999996,0.854
2024-01-05,19,0.96,0.265,0.0,0.005,2.1,0.128
2024-01-05,20,0.6,0.195,0.0,0.005,1.17,0.19
2024-01-05,21,1.56,0.10500000000000001,0.0,0.005,2.4,0.054
2024-01-05,22,1.12,0.16,0.0,0.005,2.85,0.054
2024-01-05,23,1.8399999999999999,0.245,0.0,0.005,0.75,0.064
2024-01-06,0,1.44,0.325,0.0,0.005,2.0700000000000003,0.176
2024-01-06,1,1.6800000000000002,0.335,0.0,0.005,1.47,0.112
2024-01-06,2,1.12,0.18,0.0,0.005,1.44,0.092
2024-01-06,3,1.0,0.34500000000000003,0.0,0.005,0.8099999999999999,0.112
2024-01-06,4,0.8,0.2,0.0,0.005,1.74,0.148
2024-01-06,5,1.6400000000000001,0.14,0.0,0.005,1.5,0.136
2024-01-06,6,1.36,0.27,0.0,0.005,0.63,0.176
2024-01-06,7,0.8,0.37,0.0,0.005,0.75,0.2
2024-01-06,8,0.76,0.27,0.0,0.005,2.4,0.126
2024-01-06,9,6.760000000000001,0.8400000000000001,2.8699999999999997,0.522,29.85,0.806
2024-01-06,10,11.68,0.895,5.575,0.906,25.62,0.612
2024-01-06,11,9.6,0.595,3.3150000000000004,0.211,43.29,0.204
2024-01-06,12,8.24,0.685,6.05,0.216,42.9,0.472
2024-01-06,13,7.52,0.51,7.63,0.75,38.309999999999995,0.704
2024-01-06,14,7.24,0.9850000000000001,9.254999999999999,0.986,39.6,0.684
2024-01-06,15,9.120000000000001,0.8200000000000001,7.925,0.582,43.230000000000004,0.974
2024-01-06,16,10.32,0.9299999999999999,4.9399999999999995,0.158,33.33,0.508
2024-01-06,17,5.28,0.8350000000000001,9.559999999999999,0.123,35.43,0.228
2024-01-06,18,10.920000000000002,0.625,3.915,0.747,41.79,0.45
2024-01-06,19,0.8799999999999999,0.365,0.0,0.005,1.6199999999999999,0.158
2024-01-06,20,1.8399999999999999,0.255,0.0,0.005,1.74,0.056
2024-01-06,21,1.04,0.335,0.0,0.005,0.7799999999999999,0.166
2024-01-06,22,0.9199999999999999,0.21000000000000002,0.0,0.005,0.72,0.134
2024-01-06,23,1.32,0.14,0.0,0.005,0.96,0.102
2024-01-07,0,1.36,0.155,0.0,0.005,1.05,0.17
2024-01-07,1,1.6800000000000002,0.34,0.0,0.005,2.67,0.078
2024-01-07,2,0.96,0.165,0.0,0.005,1.17,0.186
2024-01-07,3,1.36,0.34,0.0,0.005,0.72,0.076
2024-01-07,4,1.96,0.305,0.0,0.005,1.68,0.122
2024-01-07,5,1.04,0.21000000000000002,0.0,0.005,2.6999999999999997,0.182
2024-01-07,6,2.0,0.14500000000000002,0.0,0.005,2.76,0.136
2024-01-07,7,0.56,0.20500000000000002,0.0,0.005,2.2199999999999998,0.154
2024-01-07,8,0.68,0.28500000000000003,0.0,0.005,2.85,0.054
2024-01-07,9,10.68,0.8200000000000001,3.76,0.819,33.45,0.364
2024-01-07,10,4.12,0.64,2.645,0.554,44.07,0.246
2024-01-07,11,9.360000000000001,0.71,2.475,0.049,43.35,0.25
2024-01-07,12,10.52,0.52,7.765,0.213,33.45,0.62
2024-01-07,13,6.0,0.8500000000000001,9.335,0.98,24.09,0.936
2024-01-07,14,7.84,0.935,6.2,0.539,35.4,0.206
2024-01-07,15,4.36,0.5700000000000001,6.44,0.592,36.09,0.266
2024-01-07,16,7.52,0.755,5.49,0.106,40.83,0.628
2024-01-07,17,8.36,0.8999999999999999,9.555,0.206,32.25,0.46
2024-01-07,18,5.6000000000000005,0.97,2.8549999999999995,0.599,37.08,0.912
2024-01-07,19,1.6800000000000002,0.29000000000000004,0.0,0.005,1.71,0.148
2024-01-07,20,1.8399999999999999,0.315,0.0,0.005,2.88,0.042
2024-01-07,21,1.92,0.33,0.0,0.005,2.31,0.14
2024-01-07,22,1.2,0.32,0.0,0.005,1.3499999999999999,0.104
2024-01-07,23,2.0,0.33,0.0,0.005,1.2899999999999998,0.052
2024-01-08,0,1.6800000000000002,0.165,0.0,0.005,2.43,0.06
2024-01-08,1,1.92,0.27,0.0,0.005,1.92,0.2
2024-01-08,2,1.52,0.375,0.0,0.005,0.69,0.098
2024-01-08,3,1.48,0.19,0.0,0.005,2.61,0.194
2024-01-08,4,1.44,0.1,0.0,0.005,1.5,0.146
2024-01-08,5,1.7199999999999998,0.31,0.0,0.005,1.26,0.192
2024-01-08,6,0.72,0.395,0.0,0.005,1.71,0.176
2024-01-08,7,1.6800000000000002,0.14500000000000002,0.0,0.005,2.67,0.058
2024-01-08,8,1.32,0.25,0.0,0.005,0.84,0.048
2024-01-08,9,7.6,0.625,4.845,0.564,41.55,0.966
2024-01-08,10,9.399999999999999,0.9450000000000001,4.91,0.82,30.72,0.886
2024-01-08,11,7.92,0.795,4.680000000000001,0.061,35.28,0.874
2024-01-08,12,7.960000000000001,0.94,5.845000000000001,0.122,41.339999999999996,0.432
2024-01-08,13,8.68,0.9950000000000001,5.28,0.872,41.49,0.634
2024-01-08,14,8.040000000000001,0.8350000000000001,7.135,0.644,36.78,0.394
2024-01-08,15,7.800000000000001,0.605,6.745,0.855,34.62,0.848
2024-01-08,16,10.920000000000002,0.72,8.62,0.118,41.699999999999996,0.412
2024-01-08,17,10.48,0.8550000000000001,4.285,0.135,28.59,0.756
2024-01-08,18,11.959999999999999,0.865,3.35,0.753,41.13,0.458
2024-01-08,19,1.4000000000000001,0.235,0.0,0.005,1.77,0.136
2024-01-08,20,1.8399999999999999,0.165,0.0,0.005,2.1599999999999997,0.154
2024-01-08,21,1.6800000000000002,0.39,0.0,0.005,0.6599999999999999,0.062
2024-01-08,22,0.72,0.34,0.0,0.005,0.9299999999999999,0.084
2024-01-08,23,0.76,0.10500000000000001,0.0,0.005,1.38,0.146
2024-01-09,0,1.92,0.235,0.0,0.005,1.47,0.154
2024-01-09,1,0.72,0.335,0.0,0.005,2.91,0.046
2024-01-09,2,0.96,0.34500000000000003,0.0,0.005,0.99,0.094
2024-01-09,3,0.43999999999999995,0.14500000000000002,0.0,0.005,2.1,0.198
2024-01-09,4,0.72,0.31,0.0,0.005,2.37,0.094
2024-01-09,5,0.48,0.35000000000000003,0.0,0.005,2.52,0.2
2024-01-09,6,0.56,0.14,0.0,0.005,1.65,0.144
2024-01-09,7,1.04,0.335,0.0,0.005,0.72,0.138
2024-01-09,8,1.44,0.34500000000000003,0.0,0.005,2.2199999999999998,0.078
2024-01-09,9,5.88,0.895,3.84,0.56,27.96,0.592
2024-01-09,10,8.32,0.53,2.945,0.729,33.9,0.316
2024-01-09,11,4.76,0.8450000000000001,5.635,0.073,31.589999999999996,0.336
2024-01-09,12,4.48,0.875,8.53,0.151,27.21,0.664
2024-01-09,13,6.959999999999999,0.5700000000000001,4.1499999999999995,0.932,41.97,0.948
2024-01-09,14,6.36,0.51,8.395,0.631,35.58,0.378
2024-01-09,15,9.6,0.735,8.78,0.932,37.949999999999996,0.694
2024-01-09,16,5.5200000000000005,0.655,9.325,0.244,34.08,0.828
2024-01-09,17,6.760000000000001,0.755,4.36,0.285,27.990000000000002,0.638
2024-01-09,18,9.360000000000001,0.875,5.02,0.979,29.43,0.87
2024-01-09,19,1.12,0.29000000000000004,0.0,0.005,1.05,0.158
2024-01-09,20,1.36,0.28,0.0,0.005,2.5799999999999996,0.128
2024-01-09,21,0.6,0.255,0.0,0.005,0.84,0.066
2024-01-09,22,1.12,0.38,0.0,0.005,1.38,0.084
2024-01-09,23,0.56,0.14,0.0,0.005,2.79,0.112
2024-01-10,0,1.4000000000000001,0.18,0.0,0.005,2.88,0.114
2024-01-10,1,0.6,0.11499999999999999,0.0,0.005,1.2899999999999998,0.054
2024-01-10,2,0.72,0.325,0.0,0.005,1.7999999999999998,0.058
2024-01-10,3,0.8799999999999999,0.12,0.0,0.005,2.37,0.08
2024-01-10,4,0.64,0.22999999999999998,0.0,0.005,1.44,0.072
2024-01-10,5,0.96,0.275,0.0,0.005,1.92,0.134
2024-01-10,6,1.48,0.36,0.0,0.005,1.2899999999999998,0.086
